Question,Option A,Option B,Option C,Option D,Answer
1. What is the basic unit of heredity?,Protein,Gene,Ribosome,Chromosome,Gene
2. What is a genotype?,The genetic makeup of an organism,The observable characteristics,Inheritance patterns,The process of protein synthesis,The genetic makeup of an organism
3. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Store genetic information,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
4. What is a mutation not affecting amino acid sequences?,Missense mutation,Frameshift mutation,Nonsense mutation,Silent mutation,Silent mutation
5. What is the basic unit of heredity?,Protein,Gene,Ribosome,Chromosome,Gene
6. Which is a recessive genetic disorder?,Huntington's disease,Cystic fibrosis,Down syndrome,Sickle cell anemia,Cystic fibrosis
7. What is the basic unit of heredity?,Chromosome,Protein,Ribosome,Gene,Gene
8. Which enzyme unwinds the DNA helix during replication?,Helicase,Ligase,DNA polymerase,RNA polymerase,Helicase
9. Which is a recessive genetic disorder?,Sickle cell anemia,Cystic fibrosis,Down syndrome,Huntington's disease,Cystic fibrosis
10. Which molecule carries genetic information in most organisms?,Protein,RNA,Lipid,DNA,DNA
11. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,DNA polymerase,Ligase,Helicase,Helicase
12. What is a genotype?,Inheritance patterns,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,The genetic makeup of an organism
13. What is the function of a promoter region?,Terminate transcription,Splice mRNA,To initiate transcription,Code for a protein,To initiate transcription
14. What is the term for different forms of a gene?,Chromatids,Alleles,Nucleotides,Codons,Alleles
15. What is a genotype?,The genetic makeup of an organism,The observable characteristics,The process of protein synthesis,Inheritance patterns,The genetic makeup of an organism
16. Who is known as the father of genetics?,Gregor Mendel,Francis Crick,Charles Darwin,James Watson,Gregor Mendel
17. Which is a recessive genetic disorder?,Down syndrome,Huntington's disease,Cystic fibrosis,Sickle cell anemia,Cystic fibrosis
18. Which molecule carries genetic information in most organisms?,RNA,Protein,DNA,Lipid,DNA
19. What is the basic unit of heredity?,Ribosome,Gene,Chromosome,Protein,Gene
20. Who is known as the father of genetics?,Francis Crick,Charles Darwin,Gregor Mendel,James Watson,Gregor Mendel
21. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Store genetic information,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
22. Who is known as the father of genetics?,Charles Darwin,Francis Crick,James Watson,Gregor Mendel,Gregor Mendel
23. What is the term for different forms of a gene?,Codons,Nucleotides,Chromatids,Alleles,Alleles
24. What is the basic unit of heredity?,Gene,Chromosome,Protein,Ribosome,Gene
25. What is the term for different forms of a gene?,Nucleotides,Codons,Chromatids,Alleles,Alleles
